[17:20:12] [CashShopManager][admin][Admin] Buy Item: Lightning Sword, Price: 60, Duration: 0, Serial: CA [Level: 15, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:13] [CashShopManager][admin][Admin] Buy Item: Lightning Sword, Price: 60, Duration: 0, Serial: CB [Level: 15, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:18] [CashShopManager][admin][Admin] Buy Item: Chaos Dragon Shield, Price: 50, Duration: 0, Serial: CC [Level: 15, Dur: 255, Opt1: 1, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:21] [CashShopManager][admin][Admin] Buy Item: Dragon Helm, Price: 10, Duration: 0, Serial: CD [Level: 15, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:25] [CashShopManager][admin][Admin] Buy Item: Dragon Armor, Price: 10, Duration: 0, Serial: CE [Level: 15, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:27] [CashShopManager][admin][Admin] Buy Item: Dragon Pants, Price: 10, Duration: 0, Serial: CF [Level: 15, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:29] [CashShopManager][admin][Admin] Buy Item: Dragon Gloves, Price: 10, Duration: 0, Serial: D0 [Level: 15, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:31] [CashShopManager][admin][Admin] Buy Item: Dragon Boots, Price: 10, Duration: 0, Serial: D1 [Level: 15, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
[17:20:36] [CashShopManager][admin][Admin] Buy Item: Wings of Dragon, Price: 50, Duration: 0, Serial: D2 [Level: 15, Dur: 255, Opt1: 0, Opt2: 1, Opt3: 0, NewOpt: 63, SetOpt: 0, ExOpt: 0, Socket: (255 255 255 255 255)]
